Latitude,Longitude,Depth to water (ft),lastLoc
27.38611111111111,-98.26722222222222,48.71,d
29.39388888888889,-95.11,91.49,2723100981602d
29.438333333333333,-99.28305555555555,213.81,2923380950636d
29.441111111111113,-99.67055555555557,68.67,2926180991659d
29.49527777777778,-98.59555555555555,173.62,2926280994014d
29.53388888888889,-99.10972222222222,176.46,2929430983544d
29.547777777777778,-98.63555555555556,179.1,2932020990635d
29.563333333333333,-95.11833333333333,132.54,2932520983808d
29.568055555555556,-98.66166666666668,210.71,2933480950706d
29.587777777777777,-98.54861111111111,239.74,2934050983942d
29.599722222222223,-98.48,178.46,2935160983255d
29.72722222222222,-95.45111111111112,228.11,2935590982848d
29.72722222222222,-95.45111111111112,248.88,2943380952704d
29.790555555555557,-95.58638888888889,356.73,2943380952704d
29.790555555555557,-95.58638888888889,152.44,2947260953511d
29.791111111111114,-95.33361111111111,168.53,2947260953511d
29.86777777777778,-99.56722222222221,250.02,2947280952001d
29.88722222222222,-91.5225,6.45,2952040993402d
29.91361111111111,-95.14472222222223,83.46,2953140913121d
30.14,-95.46305555555556,132.47,2954490950841d
30.146944444444443,-95.2425,137.88,3008240952747d
30.20777777777778,-95.45694444444445,350.28,3008490951433d
30.210277777777776,-97.78,162.41,3012280952725d
30.25138888888889,-95.57694444444444,40.69,3012370974648d
30.33,-95.48333333333333,87.15,3015050953437d
30.33,-95.48333333333333,54.47,3019480952900d
30.404444444444444,-87.84861111111111,1.18,3019480952900d
30.43722222222222,-91.14166666666668,148.59,3024160875055d
30.443333333333335,-91.1438888888889,107.31,3026140910830d
30.443333333333335,-95.70777777777778,14.71,3026360910838d
30.443333333333335,-95.70777777777778,14.95,3026360954228d
30.445,-91.14277777777778,92.09,3026360954228d
30.496666666666666,-95.70694444444445,50.54,3026420910834d
30.575277777777778,-95.71666666666667,12.5,3029480954225d
30.575277777777778,-95.71666666666667,23.38,3034310954300d
30.575277777777778,-95.71666666666667,23.51,3034310954300d
30.735,-81.55138888888888,-10.64,3034310954300d
30.735,-81.55138888888888,2.7,3044060813305d
30.828333333333333,-82.36055555555555,66.59,3044060813305d
30.830277777777777,-83.28138888888888,120.08,3049420822138d
30.83833333333333,-93.42027777777778,35.6,3049490831653d
30.852777777777778,-102.89277777777778,107.58,3050180932513d
30.921944444444446,-90.80499999999999,57.34,3051101025334d
30.96,-84.59944444444444,46.11,3055190904818d
31.069444444444443,-81.57722222222222,-21.21,3057360843558d
31.071666666666665,-81.41305555555556,-23.25,3104100813438d
31.085277777777776,-84.43944444444445,50.54,3104180812447d
31.11416666666667,-84.67916666666667,29.97,3105070842622d
31.118333333333332,-82.26416666666667,100.2,3106510844045d
31.136944444444445,-83.43416666666667,179.18,3107060821551d
31.139444444444443,-81.495,-9.45,3108130832603d
31.140277777777776,-81.495,-11.1,3108220812942d
31.15861111111111,-81.48611111111111,0.58,3108250812942d
31.172777777777778,-81.51277777777777,5.3,3109310812910d
31.172777777777778,-81.51277777777777,41.69,3110220813046d
31.174444444444447,-81.48305555555555,5.08,3110220813046d
31.221944444444443,-86.26,10.96,3110280812859d
31.279722222222222,-84.29388888888889,38.6,3113190861536d
31.279722222222222,-84.29388888888889,39.56,3116470841738d
31.300555555555555,-84.32305555555556,40.07,3116470841738d
31.345555555555553,-110.23861111111111,35.8,3118020841923d
31.3575,-84.11611111111111,49.1,3120441101419d
31.375555555555557,-84.65472222222223,3.79,3121270840658d
31.438055555555557,-84.18527777777778,44.4,3122320843917d
31.453333333333333,-82.9925,137.73,3126170841107d
31.488611111111112,-84.26055555555556,25.8,3127120825933d
31.529444444444444,-83.82111111111111,220.32,3129190841538d
31.54638888888889,-84.01388888888889,51.82,3131460834916d
31.592222222222222,-84.34305555555555,131.52,3132470840050d
31.592777777777776,-84.17500000000001,68.76,3135320842035d
31.606944444444444,-84.07083333333333,85.49,3135340841030d
31.635555555555555,-84.16000000000001,28.54,3136250840415d
31.66472222222222,-84.60333333333332,174.7,3138080840936d
31.6875,-88.6563888888889,20.53,3139530843612d
31.724999999999998,-84.015,7.48,3141150883923d
31.953333333333333,-106.60499999999999,97.82,3143300840054d
31.997222222222224,-81.27,4.27,3157121063618d
32.024166666666666,-80.85333333333332,8.92,3159500811612d
32.024166666666666,-80.8536111111111,30.27,3201270805112d
32.027499999999996,-83.85444444444444,58.96,3201270805113d
32.10611111111111,-81.11027777777777,52.7,3201390835116d
32.13166666666667,-81.61194444444443,62.85,3206220810637d
32.14611111111111,-80.83805555555556,23.02,3207540813643d
32.217222222222226,-82.41000000000001,184.12,3208460805017d
32.22555555555556,-106.74361111111111,36.71,3213020822436d
32.22555555555556,-106.74361111111111,36.3,3213321064437d
32.2675,-80.72277777777778,13.38,3213321064437d
32.294444444444444,-106.80277777777778,45.54,3216030804322d
32.294444444444444,-106.80277777777778,45.85,3217401064810d
32.294444444444444,-106.80277777777778,46.59,3217401064810d
32.294999999999995,-81.39694444444446,23.33,3217401064810d
32.294999999999995,-81.39694444444446,70.83,3217420812349d
32.295833333333334,-106.82249999999999,34.48,3217420812349d
32.295833333333334,-106.82249999999999,22.19,3217451064921d
32.295833333333334,-106.82249999999999,36.5,3217451064921d
32.328611111111115,-81.2538888888889,44.17,3217451064921d
32.343333333333334,-84.98416666666667,50.29,3219430811514d
32.34638888888889,-86.36194444444443,18.79,3220360845903d
32.376111111111115,-81.31666666666666,19.35,3220470862143d
32.376666666666665,-81.31944444444444,30.85,3222340811900d
32.37916666666667,-83.48361111111112,65.72,3222360811910d
32.38972222222222,-106.52972222222222,70.44,3222450832901d
32.39527777777778,-93.35416666666666,19.62,3223231063147d
32.416666666666664,-85.92,13.02,3223430932115d
32.44777777777777,-83.05833333333334,31.31,3225000855512d
32.45333333333333,-104.12916666666666,87.39,3226520830330d
32.500277777777775,-88.03777777777778,4.41,3227121040745d
32.50833333333333,-83.05,48.89,3230010880216d
32.51305555555555,-90.81222222222222,19.02,3230300830300d
32.52305555555555,-81.85444444444444,89.16,3230470904844d
32.52305555555555,-81.85444444444444,84.67,3231230815116d
32.550555555555555,-83.44277777777778,167.66,3231230815116d
32.55361111111111,-117.06083333333333,38.73,3233020832634d
32.55361111111111,-117.06083333333333,38.95,3233131170339d
32.590833333333336,-117.08333333333333,79.63,3233131170339d
32.590833333333336,-117.08333333333333,79.92,3235271170500d
32.59111111111111,-117.05388888888889,-19.8,3235271170500d
32.59111111111111,-117.05388888888889,-22.02,3235281170314d
32.59111111111111,-117.05388888888889,7.11,3235281170314d
32.59111111111111,-117.05388888888889,22.75,3235281170314d
32.59111111111111,-117.05388888888889,27.03,3235281170314d
32.61638888888889,-117.05916666666667,61.02,3235281170314d
32.61638888888889,-117.05916666666667,61.04,3236591170333d
32.61638888888889,-117.05916666666667,92.28,3236591170333d
32.61638888888889,-117.05916666666667,125.13,3236591170333d
32.635555555555555,-117.10111111111111,42.63,3236591170333d
32.635555555555555,-117.10111111111111,82.76,3238081170604d
32.65416666666667,-117.09805555555555,83.54,3238081170604d
32.65416666666667,-117.09805555555555,73.49,3239151170553d
32.65888888888889,-117.08555555555554,-73.36,3239151170553d
32.65888888888889,-117.08555555555554,67.88,3239321170508d
32.65888888888889,-117.08555555555554,87.45,3239321170508d
32.65888888888889,-117.08555555555554,153.56,3239321170508d
32.6675,-114.39916666666667,155.92,3239321170508d
32.68194444444444,-117.11222222222221,48.23,3240031142357d
32.68194444444444,-117.11222222222221,22.98,3240551170644d
32.687777777777775,-117.08555555555554,114.93,3240551170644d
32.687777777777775,-117.08555555555554,145.13,3241161170508d
32.687777777777775,-117.08555555555554,145.46,3241161170508d
32.7025,-82.71722222222222,154.22,3241161170508d
32.73777777777778,-117.07222222222222,229.99,3242090824302d
32.73777777777778,-117.07222222222222,230.18,3244161170420d
32.75222222222222,-91.42305555555556,34.4,3244161170420d
32.778055555555554,-117.12083333333332,-18.34,3245080912523d
32.778055555555554,-117.12083333333332,-20.41,3246411170715d
32.778055555555554,-117.12083333333332,-16.99,3246411170715d
32.778055555555554,-117.12083333333332,18.78,3246411170715d
32.79138888888889,-79.78888888888889,51.61,3246411170715d
32.831388888888895,-112.2538888888889,341.13,3247290794720d
32.87555555555556,-82.22083333333333,91.64,3249531121514d
32.92166666666667,-93.37194444444444,43.28,3252320821315d
3.4319444444444445,-10.239166666666668,15.09,3255180932219d
32.97138888888889,-90.77833333333334,-1.88,	325550101381d
32.980000000000004,-82.8025,248.93,3258170904642d
33.00055555555556,-92.74972222222222,250.84,3258480824809d
33.05555555555555,-117.04638888888888,16.3,3300020924459d
33.05555555555555,-117.04638888888888,11.79,3303201170247d
33.05555555555555,-117.04638888888888,11.94,3303201170247d
33.08722222222222,-116.97472222222223,70.18,3303201170247d
33.08722222222222,-116.97472222222223,70.1,3305141165829d
33.09861111111111,-117.01694444444445,12.91,3305141165829d
