Latitude,Longitude,Depth to water (ft),lastLoc,Address
64.90944444,-147.6475,14.41,6445281471312d,Alaska
64.75777778,-147.22,10.02,6117251493354d,Alaska
61.29027778,-149.565,108.68,5823591343521d,Alaska
58.39972222,-134.5891667,10.99,4831271033731d,Alaska
48.52416667,-103.6252778,27,4822120994758d,North Dakota
48.37,-99.79944444,9.39,4805501135850d,North Dakota
48.09722222,-113.9805556,3.64,4805461231009d,Montana
48.09611111,-123.1691667,41.8,4800341051954d,Washington
48.00944444,-105.3316667,43.4,4756460973722d,Montana
47.94611111,-97.62277778,25.22,4754391165034d,North Dakota
47.91083333,-116.8427778,410.47,4749210931440d,Idaho
47.8225,-93.24444444,23.42,4744280915946d,Minnesota
47.74111111,-91.99611111,5.18,4741260961653d,Minnesota
47.69055556,-96.28138889,6.45,4740111170729d,Minnesota
47.66972222,-117.1247222,98.86,4734421181622d,Washington
47.57833333,-118.2727778,44.37,4725371021448d,Washington
47.42694444,-102.2466667,30.27,4721211224420d,North Dakota
47.35583333,-122.7388889,41.77,4714570683530d,Washington
47.24916667,-68.59166667,11.38,4657551024107d,Maine
46.96527778,-102.6852778,19.05,4650331225702d,North Dakota
46.8425,-122.9505556,23.28,4645401002221d,Washington
46.76111111,-100.3725,8.34,4636420693446d,North Dakota
46.61166667,-69.57944444,15.41,4626411105617d,Maine
46.44472222,-110.9380556,85.81,4626330971634d,Montana
46.4425,-97.27611111,6.62,4624210872427d,North Dakota
46.40583333,-87.4075,126.76,4621590844422d,Michigan
46.36638889,-84.73944444,25.5,4619351180815d,Michigan
46.32638889,-118.1375,39.42,4601500893624d,Washington
46.03055556,-89.60666667,-1.02,4559270951231d,Wisconsin
45.99083333,-95.20861111,7.3,4552240922156d,Minnesota
45.87333333,-92.36555556,31.85,4550161073604d,Wisconsin
45.83777778,-107.6011111,6.39,4544270844240d,Montana
45.74083333,-84.71111111,5.47,4536290685318d,Michigan
45.60805556,-68.88833333,9.88,4533580982601d,Maine
45.56611111,-98.43361111,7.46,4533341032750d,South Dakota
45.55944444,-103.4638889,55.83,4533341032750d,South Dakota
45.55944444,-103.4638889,63.27,4530270995050d,South Dakota
45.5075,-99.84722222,23.61,4527260884344d,South Dakota
45.45722222,-88.72888889,14.8,4520331221959d,Wisconsin
45.3425,-122.3330556,66.99,4520120934127d,Oregon
45.33666667,-93.69083333,17.92,4518480963635d,Minnesota
45.31333333,-96.60972222,24.44,4517461063011d,South Dakota
45.29611111,-106.5030556,10.24,4511280702803d,Montana
45.19111111,-70.4675,10.27,4507130671628d,Maine
45.12027778,-67.27444444,-0.49,4505241123807d,Maine
45.09,-112.6352778,174.69,4458050733805d,Montana
44.96805556,-73.63472222,2.51,4455110741039d,New York
44.91972222,-74.1775,34.06,4455110741039d,New York
44.91972222,-74.1775,2.78,4453190685601d,New York
44.88861111,-68.93361111,20.42,4452270675201d,Maine
44.87416667,-67.86694444,4.66,4452160745930d,Maine
44.87111111,-74.99166667,15.38,4450520733502d,New York
44.84777778,-73.58388889,22.82,4449040744552d,New York
44.81777778,-74.76444444,7.25,4447191080505d,New York
44.78861111,-108.0847222,19.63,4447090892653d,Wyoming
44.78583333,-89.44805556,13.65,4443020702524d,Wisconsin
44.71722222,-70.42333333,27.54,4439520721140d,Maine
44.66444444,-72.19444444,17.42,4439210852135d,Vermont
44.65583333,-85.35972222,25.69,4436470705523d,Michigan
44.61305556,-70.92305556,7.95,4435350873454d,Maine
44.59305556,-87.58166667,6.35,4430530945910d,Wisconsin
44.51472222,-94.98611111,46.66,4424500710523d,Minnesota
44.41388889,-71.08972222,6.33,4422540981745d,New Hampshire
44.38166667,-98.29583333,15.95,4422421214055d,South Dakota
44.37833333,-121.6819444,301.88,4422380681541d,Oregon
44.37722222,-68.26138889,-0.58,4418340735456d,Maine
44.30944444,-73.91555556,8.97,4418010694555d,New York
44.30027778,-69.76527778,10.35,4417591032612d,Maine
44.29972222,-103.4366667,24.88,4417591032612d,South Dakota
44.29972222,-103.4366667,0.93,4416440733151d,South Dakota
44.27888889,-73.53083333,17.94,4412140755421d,New York
44.20388889,-75.90583333,1.85,4409390751913d,New York
44.16083333,-75.32027778,23.44,4409180695640d,New York
44.155,-69.94444444,47.92,4408230702915d,Maine
44.13972222,-70.4875,10.16,4408100695536d,Maine
44.13611111,-69.92666667,9.83,4407130893208d,Maine
44.12027778,-89.53555556,8.7,4405441031800d,Wisconsin
44.09555556,-103.3,21.55,4405441031800d,South Dakota
44.09555556,-103.3,24.55,4403261031807d,South Dakota
44.05722222,-103.3019444,-36.23,4403101031738d,South Dakota
44.05277778,-103.2938889,21.33,4402130702032d,South Dakota
44.03694444,-70.34222222,10.2,4401140754537d,Maine
44.02055556,-75.76027778,16.92,4400260903901d,New York
44.00722222,-90.65027778,5.78,4400130742441d,Wisconsin
44.00361111,-74.41138889,6.86,4357230921718d,New York
43.95638889,-92.28833333,13.78,4356570851712d,Minnesota
43.94916667,-85.28666667,63,4356150851735d,Michigan
43.9375,-85.29305556,54.9,4354530700136d,Michigan
43.91472222,-70.02666667,30.3,4352390950748d,Maine
43.8775,-95.13,14.86,4349550702614d,Minnesota
43.83194444,-70.43722222,10.93,4349200753439d,Maine
43.82222222,-75.5775,9.41,4345510893650d,New York
43.76416667,-89.61388889,34.04,4343300964348d,Wisconsin
43.725,-96.73,9.18,4343290965212d,South Dakota
43.72472222,-96.87,7.79,4343071123826d,South Dakota
43.71861111,-112.6405556,348.2,4342170730106d,Idaho
43.70472222,-73.01833333,34.95,4342170730106d,Vermont
43.70472222,-73.01833333,35.64,4341030831303d,Vermont
43.68416667,-83.2175,33.79,4337520964327d,Michigan
43.63111111,-96.72416667,9.12,4337260964445d,South Dakota
43.62388889,-96.74583333,10.99,4337051161106d,South Dakota
43.61805556,-116.185,-11.54,4337001161110d,Idaho
43.61666667,-116.1861111,44.47,4336151104400d,Idaho
43.60416667,-110.7333333,43.87,4332580734402d,Wyoming
43.54944444,-73.73388889,36.26,4332400722429d,New York
43.54444444,-72.40805556,9.55,4331330860826d,Vermont
43.52583333,-86.14055556,42.35,4331120750915d,Michigan
43.52,-75.15416667,19.59,4330010734747d,New York
43.50027778,-73.79638889,16.7,4328320741222d,New York
43.47555556,-74.20611111,12.24,4327001124708d,New York
43.45,-112.7855556,595.58,4324150885526d,Idaho
43.40416667,-88.92388889,20.81,4323100703933d,Wisconsin
43.38611111,-70.65916667,18.05,4321480762251d,Maine
43.36333333,-76.38083333,21.78,4321480762251d,New York
